,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
409,Hoozuki no Reitetsu,TV (13 eps),Jan 2014 - Apr 2014,"125,646 ","Comedy, Fantasy, Supernatural",Fridays at 01:35 (JST),Sentai Filmworks,"1,214",1574,7.781,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu,"43,277"
410,Digimon Adventure,TV (54 eps),Mar 1999 - Mar 2000,"383,465 ","Action, Adventure, Comedy, Fantasy",Sundays at 09:00 (JST),"Discotek Media, Saban Entertainment, Flatiron Film Company","5,078",531,7.771,https://myanimelist.net/anime/552/Digimon_Adventure,"246,797"
411,Ghost Hunt,TV (25 eps),Oct 2006 - Mar 2007,"222,223 ","Horror, Mystery, Supernatural",Unknown,Funimation,"2,966",967,7.771,https://myanimelist.net/anime/1571/Ghost_Hunt,"97,822"
412,Grisaia no Rakuen,TV (10 eps),Apr 2015 - Jun 2015,"390,248 ","Drama, Romance",Sundays at 23:00 (JST),Sentai Filmworks,"2,042",523,7.771,https://myanimelist.net/anime/29095/Grisaia_no_Rakuen,"212,318"
413,Love Live! School Idol Project 2nd Season,TV (13 eps),Apr 2014 - Jun 2014,"247,732 ","Award Winning, Slice of Life",Sundays at 22:30 (JST),"NIS America, Inc.","2,749",871,7.771,https://myanimelist.net/anime/19111/Love_Live_School_Idol_Project_2nd_Season,"143,958"
414,Lupin the Third: Mine Fujiko to Iu Onna,TV (13 eps),Apr 2012 - Jun 2012,"59,869 ","Action, Adventure, Award Winning, Comedy, Ecchi",Thursdays at 01:29 (JST),"Funimation, Discotek Media",460,2571,7.771,https://myanimelist.net/anime/13203/Lupin_the_Third__Mine_Fujiko_to_Iu_Onna,"22,566"
415,Saenai Heroine no Sodatekata ♭,TV (11 eps),Apr 2017 - Jun 2017,"343,760 ","Comedy, Romance, Ecchi",Fridays at 00:55 (JST),"None found, add some","1,646",610,7.771,https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_%E2%99%AD,"175,427"
416,Kokoro Connect,TV (13 eps),Jul 2012 - Sep 2012,"796,354 ","Drama, Romance, Supernatural",Sundays at 00:30 (JST),Sentai Filmworks,"7,787",199,7.761,https://myanimelist.net/anime/11887/Kokoro_Connect,"403,952"
417,Maria-sama ga Miteru 4th,TV (13 eps),Jan 2009 - Mar 2009,"21,443 ","Drama, Girls Love",Unknown,Nozomi Entertainment,85,4324,7.761,https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th,"9,131"
418,Overlord II,TV (13 eps),Jan 2018 - Apr 2018,"940,321 ","Action, Adventure, Fantasy",Tuesdays at 22:30 (JST),Funimation,"4,248",151,7.761,https://myanimelist.net/anime/35073/Overlord_II,"583,450"
419,Ranma ½,TV (161 eps),Apr 1989 - Sep 1992,"240,358 ","Action, Comedy, Fantasy",Unknown,VIZ Media,"3,891",899,7.761,https://myanimelist.net/anime/210/Ranma_%C2%BD,"115,426"
420,Texhnolyze,TV (22 eps),Apr 2003 - Sep 2003,"233,438 ","Action, Drama, Sci-Fi",Thursdays at 03:28 (JST),"Funimation, Geneon Entertainment USA","4,652",919,7.761,https://myanimelist.net/anime/26/Texhnolyze,"53,708"
421,Akagami no Shirayuki-hime,TV (12 eps),Jul 2015 - Sep 2015,"628,947 ","Drama, Fantasy, Romance",Tuesdays at 00:00 (JST),Funimation,"7,084",294,7.761,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime,"309,718"
422,Crayon Shin-chan,TV (? eps),Apr 1992 -,"77,328 ","Comedy, Ecchi",Fridays at 19:30 (JST),Funimation,"1,143",2205,7.761,https://myanimelist.net/anime/966/Crayon_Shin-chan,"37,938"
423,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,TV (12 eps),Apr 2018 - Jun 2018,"79,982 ","Drama, Sci-Fi",Tuesdays at 21:00 (JST),Funimation,518,2153,7.761,https://myanimelist.net/anime/31433/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Kaikou,"32,436"
