,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
302,[],['Broadcast: Tuesdays at 00:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 32'],['Popularity: #7776'],"['Score: 6.841 (scored by 1,295 users)']"
303,"['Genres: Fantasy, Supernatural']",['Broadcast: Mondays at 18:20 (JST)'],"['Licensors: None found, add some']",['Favorites: 64'],['Popularity: #4634'],"['Score: 6.841 (scored by 6,422 users)']"
304,"['Genres: Action, Adventure, Award Winning, Drama, Fantasy']",[],['Licensors: GKIDS'],['Favorites: 33'],['Popularity: #4034'],"['Score: 6.841 (scored by 12,862 users)']"
305,[],[],"['Licensors: None found, add some']",['Favorites: 7'],['Popularity: #4745'],"['Score: 6.841 (scored by 9,850 users)']"
306,"['Genres: Action, Adventure, Sci-Fi']",[],['Licensors: Sentai Filmworks'],['Favorites: 5'],['Popularity: #8316'],"['Score: 6.841 (scored by 1,864 users)']"
307,"['Genres: Action, Sports']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #10430'],['Score: 6.841 (scored by 911 users)']
308,"['Genres: Action, Supernatural']",['Broadcast: Fridays at 02:05 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 468'],['Popularity: #1298'],"['Score: 6.841 (scored by 77,836 users)']"
309,"['Genres: Action, Drama, Romance, Supernatural']",['Broadcast: Saturdays at 23:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 1,556']",['Popularity: #859'],"['Score: 6.841 (scored by 105,666 users)']"
310,"['Genres: Adventure, Comedy, Drama, Fantasy']",[],['Licensors: Saban Brands'],['Favorites: 10'],['Popularity: #4475'],"['Score: 6.841 (scored by 9,708 users)']"
311,[],[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #8299'],"['Score: 6.841 (scored by 1,800 users)']"
312,"['Genres: Comedy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #9961'],"['Score: 6.841 (scored by 1,024 users)']"
313,"['Genres: Action, Adventure, Comedy, Fantasy, Sci-Fi']",[],['Licensors: Funimation'],['Favorites: 30'],['Popularity: #1682'],"['Score: 6.841 (scored by 72,392 users)']"
314,"['Genres: Action, Adventure, Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 35'],['Popularity: #2832'],"['Score: 6.841 (scored by 29,179 users)']"
315,[],[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #6981'],"['Score: 6.841 (scored by 1,535 users)']"
