,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
117,"['Genres: Award Winning, Drama, Mystery, Supernatural']",[],['Licensors: GKIDS'],['Favorites: 759'],['Popularity: #1909'],"['Score: 7.201 (scored by 32,174 users)']"
118,"['Genres: Drama, Mystery']",['Broadcast: Wednesdays at 02:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 1,932']",['Popularity: #240'],"['Score: 7.201 (scored by 431,108 users)']"
119,"['Genres: Drama, Romance']",[],"['Licensors: None found, add some']",['Favorites: 57'],['Popularity: #3125'],"['Score: 7.201 (scored by 19,027 users)']"
120,"['Genres: Action, Horror, Mystery, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 29'],['Popularity: #3030'],"['Score: 7.191 (scored by 17,718 users)']"
121,[],[],['Licensors: Sentai Filmworks'],['Favorites: 24'],['Popularity: #2744'],"['Score: 7.191 (scored by 30,666 users)']"
122,"['Genres: Comedy, Sports']",[],['Licensors: Sentai Filmworks'],['Favorites: 34'],['Popularity: #3409'],"['Score: 7.191 (scored by 18,146 users)']"
123,"['Genres: Adventure, Fantasy, Romance']",['Broadcast: Wednesdays at 19:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 26'],['Popularity: #6878'],"['Score: 7.191 (scored by 3,475 users)']"
124,[],['Broadcast: Saturdays at 22:00 (JST)'],['Licensors: Funimation'],['Favorites: 331'],['Popularity: #1622'],"['Score: 7.191 (scored by 52,683 users)']"
125,"['Genres: Adventure, Drama, Horror, Romance, Supernatural, Suspense']",['Broadcast: Thursdays at 18:30 (JST)'],"['Licensors: VIZ Media, Discotek Media']",['Favorites: 472'],['Popularity: #2574'],"['Score: 7.191 (scored by 27,062 users)']"
126,"['Genres: Action, Mystery, Supernatural, Suspense']",[],"['Licensors: None found, add some']","['Favorites: 1,367']",['Popularity: #645'],"['Score: 7.191 (scored by 165,994 users)']"
127,"['Genres: Romance, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 59'],['Popularity: #3795'],['Score: 7.191 (scored by 279 users)']
128,"['Genres: Action, Adventure, Comedy, Mystery, Romance']",['Broadcast: Unknown'],['Licensors: Nozomi Entertainment'],['Favorites: 83'],['Popularity: #4495'],"['Score: 7.191 (scored by 6,699 users)']"
129,"['Genres: Drama, Fantasy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 45'],['Popularity: #5167'],"['Score: 7.191 (scored by 6,069 users)']"
130,"['Genres: Comedy, Drama, Fantasy, Romance']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 50'],['Popularity: #3752'],"['Score: 7.191 (scored by 12,908 users)']"
131,"['Genres: Comedy, Romance, Sci-Fi']",['Broadcast: Saturdays at 01:35 (JST)'],['Licensors: Funimation'],"['Favorites: 2,165']",['Popularity: #319'],"['Score: 7.191 (scored by 372,032 users)']"
132,"['Genres: Comedy, Romance, Sci-Fi']",['Broadcast: Fridays at 21:30 (JST)'],['Licensors: Funimation'],"['Favorites: 1,612']",['Popularity: #575'],"['Score: 7.191 (scored by 189,630 users)']"
133,[],[],"['Licensors: None found, add some']",['Favorites: 13'],['Popularity: #6963'],"['Score: 7.191 (scored by 3,669 users)']"
134,[],['Broadcast: Thursdays at 22:30 (JST)'],['Licensors: Ponycan USA'],['Favorites: 276'],['Popularity: #1571'],"['Score: 7.191 (scored by 51,177 users)']"
135,"['Genres: Comedy, Mystery']",[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #5388'],"['Score: 7.191 (scored by 6,185 users)']"
136,"['Genres: Action, Sci-Fi']",['Broadcast: Sundays at 22:30 (JST)'],['Licensors: Funimation'],['Favorites: 818'],['Popularity: #747'],"['Score: 7.191 (scored by 135,701 users)']"
137,"['Genres: Action, Supernatural']",[],['Licensors: Eleven Arts'],['Favorites: 14'],['Popularity: #5861'],"['Score: 7.191 (scored by 1,687 users)']"
138,[],[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #6667'],"['Score: 7.191 (scored by 4,596 users)']"
139,"['Genres: Adventure, Award Winning, Comedy, Fantasy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #6855'],"['Score: 7.191 (scored by 4,342 users)']"
140,"['Genres: Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #7622'],"['Score: 7.191 (scored by 3,005 users)']"
141,"['Genres: Action, Fantasy']",[],['Licensors: Sentai Filmworks'],['Favorites: 63'],['Popularity: #3679'],"['Score: 7.191 (scored by 6,837 users)']"
142,"['Genres: Sci-Fi, Slice of Life']",['Broadcast: Unknown'],['Licensors: Media Blasters'],['Favorites: 70'],['Popularity: #5321'],"['Score: 7.191 (scored by 3,285 users)']"
143,"['Genres: Action, Fantasy']",['Broadcast: Thursdays at 23:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,553']",['Popularity: #851'],"['Score: 7.191 (scored by 123,395 users)']"
144,"['Genres: Action, Adventure, Sci-Fi']",['Broadcast: Unknown'],['Licensors: Discotek Media'],['Favorites: 27'],['Popularity: #7387'],"['Score: 7.191 (scored by 1,165 users)']"
145,"['Genres: Comedy, Slice of Life, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #11452'],['Score: 7.201 (scored by 486 users)']
146,[],[],['Licensors: Funimation'],['Favorites: 20'],['Popularity: #5259'],"['Score: 7.191 (scored by 5,180 users)']"
147,"['Genres: Drama, Mystery']",['Broadcast: Thursdays at 23:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 267'],['Popularity: #2519'],"['Score: 7.191 (scored by 21,930 users)']"
148,"['Genres: Action, Sci-Fi, Ecchi']",['Broadcast: Unknown'],['Licensors: Funimation'],['Favorites: 248'],['Popularity: #3012'],"['Score: 7.191 (scored by 18,627 users)']"
149,"['Genres: Drama, Romance']",['Broadcast: Sundays at 00:50 (JST)'],['Licensors: Funimation'],"['Favorites: 1,042']",['Popularity: #1465'],"['Score: 7.191 (scored by 67,054 users)']"
150,[],[],"['Licensors: NIS America, Inc.']",['Favorites: 45'],['Popularity: #2332'],"['Score: 7.191 (scored by 35,423 users)']"
151,"['Genres: Comedy, Romance']",['Broadcast: Fridays at 02:28 (JST)'],['Licensors: Maiden Japan'],['Favorites: 745'],['Popularity: #752'],"['Score: 7.191 (scored by 122,148 users)']"
152,"['Genres: Action, Comedy, Mystery, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 88'],['Popularity: #3270'],"['Score: 7.191 (scored by 15,420 users)']"
153,"['Genres: Mystery, Supernatural']",['Broadcast: Unknown'],"['Licensors: ADV Films, Funimation']",['Favorites: 232'],['Popularity: #2626'],"['Score: 7.191 (scored by 15,125 users)']"
154,"['Genres: Adventure, Comedy, Romance']",[],['Licensors: Bandai Entertainment'],['Favorites: 16'],['Popularity: #2772'],"['Score: 7.191 (scored by 31,299 users)']"
